"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Entre Rios","Agricultura","IMPLEMENTOS AGRÍCOLAS","100000.00","emendas#121","","","PAGO","","","sim"
"Pinheiro Preto","Infraestrutura e obras","INVESTIMENTOS EM INFRAESTRUTURA","100000.00","emendas#120","","","SOLICITADO TROCA","","","sim"
"Capivari de Baixo","Infraestrutura e obras","INVESTIMENTOS EM INFRAESTRUTURA DE PAVIMENTAÇÕES","300000.00","emendas#119","","","PAGO","","","sim"
"Capivari de Baixo","Educação e inovação","Aquisição de veículo para secretaria de educação","250000.00","emendas#118","","","PAGO","","","sim"
"Campo Belo do Sul","Entidades","CUSTEIO PARA ASSISTENCIA SOCIAL","200000.00","emendas#117","","","PAGO","","","sim"
"Braço do Norte","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","200000.00","emendas#116","","","PAGO","","","sim"
"Benedito Novo","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","200000.00","emendas#115","","","PAGO","","","sim"
"Antônio Carlos","Infraestrutura e obras","PAVIMENTAÇÃO E COMPRA DE EQUIPAMENTOS PARA INFRAESTRUTURA","350000.00","emendas#114","","","PAGO","","","sim"
"Água Doce","Agricultura","AQUISIÇÃO DE EQUIPAMENTOS AGRICOLAS","100000.00","emendas#113","","","PAGO","","","sim"
"Witmarsum","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#112","","","PAGO","","","sim"
"Urussanga","Educação e inovação","CUSTEIO EDUCAÇAO","100000.00","emendas#111","","","PAGO","","","sim"
"Urupema","Educação e inovação","CUSTEIO EDUCAÇAO","100000.00","emendas#110","","","PAGO","","","sim"
"Urubici","Infraestrutura e obras","PAVIMENTAÇAO DAS VIAS DO MUNICIPIO","200000.00","emendas#109","","","PAGO","","","sim"
"Tubarão","Entidades","CUSTEIO STAN","117911.51","emendas#108","","","PAGO","","","sim"
"Tubarão","Entidades","CUSTEIO COMBEMTU","100000.00","emendas#107","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇAO DAS VIAS DO MUNICIPIO","1000000.00","emendas#106","","","PAGO","","","sim"
"Trombudo Central","Educação e inovação","INVESTIMENTO EDUCAÇAO","241977.90","emendas#105","","","PAGO","","","sim"
"Treze Tílias","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","100000.00","emendas#104","","","PAGO","","","sim"
"Treze de Maio","Agricultura","CUSTEIO FUNDAÇAO MEDICO SOCIAL RURAL SÃO SEBASTIAO","100000.00","emendas#103","","","PAGO","","","sim"
"Timbé do Sul","Infraestrutura e obras","INSUMOS PARA PAVIMENTAÇAO","200000.00","emendas#102","","","PAGO","","","sim"
"Siderópolis","Autismo (TEA)","REFORMA DA APAE","100000.00","emendas#101","","","PAGO","","","sim"
"São Martinho","Outros","AQUISIÇAO DE VEICULO DE TRABALHO (MINI CARREGADEIRA)","100000.00","emendas#100","","","PAGO","","","validar"
"São Domingos","Saúde e assistência social","CUSTEIO SAUDE","100000.10","emendas#99","","","PAGO","","","sim"
"Presidente Getúlio","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#98","","","PAGO","","","sim"
"Praia Grande","Educação e inovação","CUSTEIO EDUCAÇAO","100000.00","emendas#97","","","PAGO","","","sim"
"Ponte Alta do Norte","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#96","","","PAGO","","","sim"
"Pescaria Brava","Infraestrutura e obras","PAVIMENTAÇAO DAS VIAS DO MUNICIPIO","1000000.00","emendas#95","","","PAGO","","","sim"
"Pedras Grandes","Infraestrutura e obras","PAVIMENTAÇAO DAS VIAS DO MUNICIPIO","600000.00","emendas#94","","","PAGO","","","sim"
"Paulo Lopes","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","900000.00","emendas#93","","","PAGO","","","sim"
"Passo de Torres","Infraestrutura e obras","PAVIMENTAÇÃO DAS VIAS DO MUNICÍPIO","100000.00","emendas#92","","","PAGO","","","sim"
"Painel","Educação e inovação","CUSTEIO EDUCAÇAO","100000.00","emendas#91","","","PRONTO","","","sim"
"Orleans","Infraestrutura e obras","PAVIMENTAÇAO DAS VIAS DO MUNICIPIO","500000.00","emendas#90","","","PAGO","","","sim"
"Nova Veneza","Saúde e assistência social","CUSTEIO SAÚDE","800000.00","emendas#89","","","PAGO","","","sim"
"Morro Grande","Educação e inovação","APOIO PARA EDUCAÇAO MUNICIPAL","200000.00","emendas#88","","","PAGO","","","sim"
"Morro da Fumaça","Social, esporte e lazer","OBRA NO MUNICIPIO PARA PRAÇA COBERTA","500000.00","emendas#87","","","PAGO","","","sim"
"Meleiro","Autismo (TEA)","AQUISIÇAO DE VEICULO PARA APAE","100000.00","emendas#86","","","PAGO","","","sim"
"Lebon Régis","Educação e inovação","INVESTIMENTO EM EDUCAÇAO","100000.00","emendas#85","","","PAGO","","","sim"
"Lauro Müller","Saúde e assistência social","APOIO FINANCEIRO A SAUDE DO MUNICIPIO","200000.00","emendas#84","","","PAGO","","","sim"
"Laguna","Infraestrutura e obras","PAVIMENTAÇÃO NAS VIAS MUNICIPAIS","600000.00","emendas#83","","","PAGO","","","sim"
"Ituporanga","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","400000.00","emendas#82","","","PRONTO","","","sim"
"Imaruí","Saúde e assistência social","CUSTEIO HOSPITAL SANTA CASA SÃO JOAO BATISTA","100000.00","emendas#81","","","PAGO","","","sim"
"Içara","Educação e inovação","CUSTEIO EDUCAÇAO","200000.00","emendas#80","","","PAGO","","","sim"
"Gravatal","Outros","AQUISIÇAO DE CAÇAMBA","350000.00","emendas#79","","","PAGO","","","validar"
"Grão-Pará","Infraestrutura e obras","SOLICITADO TROCA -> CONSTRUÇÃO DE CENTRO DOS IDOSOS NO AIURÊ (ERA PAVIMENTAÇÃO)","500000.00","emendas#78","","","PAGO","","","sim"
"Gaspar","Saúde e assistência social","CUSTEIO PARA SECRETARIA DA SAUDE","100000.00","emendas#77","","","PAGO","","","sim"
"Garopaba","Educação e inovação","CUSTEIO EDUCAÇAO","500000.00","emendas#76","","","PAGO","","","sim"
"Forquilhinha","Infraestrutura e obras","PAVIMENTAÇÃO NAS VIAS MUNICIPAIS","200000.00","emendas#75","","","PAGO","","","sim"
"Cordilheira Alta","Educação e inovação","INVESTIMENTO DA EDUCAÇAO","100000.00","emendas#74","","","PAGO","","","sim"
"Cocal do Sul","Educação e inovação","TROCA DE OBJETO -> INVESTIMENTOS NA SECRETARIA DE EDUCAÇÃO ERA -> PARQUE DE INCLUSAO MULTISSENSORIAL","300000.00","emendas#73","","","PAGO","","","sim"
"Cerro Negro","Social, esporte e lazer","AQUISIÇAO DE VEÍCULO PARA SECRETARIA DE AGRICULTURA","100000.00","emendas#72","","","PAGO","","","sim"
"Campo Belo do Sul","Agricultura","IMPLEMENTOS AGRÍCOLAS","100000.00","emendas#71","","","PAGO","","","sim"
"Água Doce","Saúde e assistência social","AQUISIÇAO DE VEÍCULO (VAN) PARA SAUDE DO MUNICIPIO","100000.00","emendas#70","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","RUA NILO MANOEL LUIZ","200000.00","emendas#69","","","PAGO","","","sim"
"Pescaria Brava","Infraestrutura e obras","INFRAESTRUTURA PAVIMENTAÇÃO ASFÁLTICA DA AV. ELIETE DE SOUZA","550000.00","emendas#68","","","PAGO","","","sim"
"Paulo Lopes","Saúde e assistência social","SAÚDE","350000.00","emendas#67","","","PRONTO","","","sim"
"Laguna","Saúde e assistência social","SAÚDE","300000.00","emendas#66","","","PAGO","","","sim"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO RUA PRAIA GRANDE, BAIRRO NOSSA SENHORA DE FÁTIMA","200000.00","emendas#65","","","PAGO","","","sim"
"Herval D'oeste","Outros","CONSTRUÇÃO DA ESCADARIA NO BAIRRO JARDIM JOSÉ RUPP","100000.00","emendas#64","","","PAGO PARCIAL","","","validar"
"Gravatal","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA FRANCISCA DA ROSA FERREIRA E RUA SÃO SEBASTIÃO","400000.00","emendas#63","","","PAGO","","","sim"
"Garopaba","Saúde e assistência social","SAÚDE","900000.00","emendas#62","","","PRONTO","","","sim"
"Pescaria Brava","Infraestrutura e obras","PAVIMENTAÇÃO DO TRECHO COMPLEMENTAR DA AV. ELIETE DE SOUZA - SERTÃO DE CIMA SIQUEIRO","2000000.00","emendas#61","","","PAGO","","","sim"
"Tubarão","Autismo (TEA)","PARQUE INFANTIL ADAPTADO PARA PESSOAS COM TRANSTORNO ESPECTRO AUTISTA","100000.00","emendas#60","","","ARQUIVADO","","","sim"
"Tubarão","Saúde e assistência social","CUSTEIO PARA O HOSPITAL","400000.00","emendas#59","","","PAGO","","","sim"
"Pescaria Brava","Outros","IMPLANTAR PORTAL DE ENTRADA DO MUNICIPIO, LOCALIZADO NO BAIRRO SANTIAGO","125000.00","emendas#58","","","PRONTO","","","validar"
"Pescaria Brava","Outros","IMPLANTAÇÃO DE ABRIGOS DE PASSAGEIROS EM ÁRES DE MAIOR CIRCULAÇÃO DA POPULAÇÃO","125000.00","emendas#57","","","PAGO","","","validar"
"Paulo Lopes","Infraestrutura e obras","PAVIMENTAÇÃO SERVIDÕES VENCESLAU DE JESUS E MANOEL ESTÁCIO GONÇALVES","150000.00","emendas#56","","","PRONTO","","","sim"
"Laguna","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA LAURO CARNEIRO, LOCALIZADA NO BAIRRO ESPERANÇA","300000.00","emendas#55","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Imbituba","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA ARISTIDES COELHO, NO BAIRRO CAMPESTRE","200000.00","emendas#54","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Gravatal","Infraestrutura e obras","RECUPERAÇÃO DAS ESTRADAS VICINAIS","100000.00","emendas#53","","","PAGO","","","sim"
"Garopaba","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA ATRAVÉS DA PAVIMENTAÇÃO DE RUAS","300000.00","emendas#52","","","PUBLICADO","","","sim"
"Criciúma","Outros","REFORMA DO CENTRO COMUNITÁRIO","200000.00","emendas#51","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Capivari de Baixo","Infraestrutura e obras","ENRONCAMENTO NO BAIRRO SANTO ANDRÉ","500000.00","emendas#50","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Capivari de Baixo","Infraestrutura e obras","REPERFILAGEM C/ SINALIZAÇÃO DAS RUAS MANOEL PEDRO FLOR, JOÃO GOULART E JOSÉ DOMINGOS BITENCOURT","1500000.00","emendas#49","","","PAGO PARCIAL","","","sim"
"Urussanga","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA FRANCISCO FELTRIN","200000.00","emendas#48","","","PAGO","","","sim"
"Urubici","Infraestrutura e obras","PAVIMENTAÇÃO DE RUAS DO MUNICÍPIO","500000.00","emendas#47","","","PRONTO","","","sim"
"Tubarão","Saúde e assistência social","REALIZAÇÃO DE EXAMES (TROCA OBJETO -> CUSTEIO REDE FEMININA DE COMBATE AO CÂNCER)","100000.00","emendas#46","","","PAGO","","","sim"
"Tubarão","Outros","REALIZAÇÃO DO ESTUDO PLANO DE NEGÓCIOS NA REGIÃO DA AMUREL","100000.00","emendas#45","","","EM ANALISE","","","validar"
"Tubarão","Infraestrutura e obras","SOLICITADO TROCA -> PAVIMENTAÇÃO DA RUA VIRGILIO PARISI DUARTE (ERA P/ CASTRAÇÃO DE ANIMAIS)","200000.00","emendas#44","","","PAGO","","","sim"
"Tubarão","Autismo (TEA)","APAE - CUSTEIO DA ORGANIZAÇÃO","100000.00","emendas#43","","","PAGO","","","sim"
"Tubarão","Outros","COMPRA DE 1 CAMIONETE TIPO SUV","140000.00","emendas#42","","","PAGO","","","validar"
"Tubarão","Segurança","ADQUIRIR UMA CAMIONETE 4X4-VIATURA ESSENCIAL PARA OPERAÇÕES DE RESGATE","360000.00","emendas#41","","","PAGO","","","sim"
"Tubarão","Entidades","AUXÍLIO FINANCEIRO PARA ATIVIDADES DO CLUBE DE MÃES","100000.00","emendas#40","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","RUA IRINEU MENEGAZ - PAVIMENTAÇÃO E DRENAGEM","300000.00","emendas#39","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","RUA ANASTÁCIO THEÓFILO TEIXEIRA - PAVIMENTAÇÃO","200000.00","emendas#38","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO JOÃO SILVA, JOVENCIO BERNARDO, LUIZ MATHEUS, ALMIRO J. SILVA E SILVIO MENEGAZ","200000.00","emendas#37","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO ODÁRIO BERNARDINHO E DORIVALDA BRISTOT, DO BAIRRO SÃO BERNARDO","200000.00","emendas#36","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA CARURU","259175.54","emendas#35","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","REVITALIZAÇÃO ASFÁLTICA DE VIAS DA CIDADE","200000.00","emendas#34","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA ADOLFO JOSÉ DE SOUZA (LAGEADO)","750000.00","emendas#33","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","REALIZAÇÃO DA REDE DE ESGOTO PLUVIAL DA RUA MANOEL AGOSTINHO PEREIRA","300000.00","emendas#32","","","PAGO","","","sim"
"Tubarão","Educação e inovação","CUSTEIO PARA MANUTENÇÃO DAS DEMANDAS DA EDUCAÇÃO","300000.00","emendas#31","","","PAGO","","","sim"
"Treze de Maio","Saúde e assistência social","CUSTEIO E MANUTENÇÃO DA UNIDADE HOSPITALAR SÃO SEBASTIÃO","150000.00","emendas#30","","","PAGO","","","sim"
"São Martinho","Infraestrutura e obras","MELHORIA DA INFRAESTRUTURA DO MUNICÍPIO","100000.00","emendas#29","","","PAGO","","","sim"
"São Joaquim","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA ANTONIO AGUIAR NUNES","150000.00","emendas#28","","","PAGO","","","sim"
"Santa Rosa de Lima","Educação e inovação","INVESTIMENTO NA EDUCAÇÃO BÁSICA DO MUNICÍPIO","100000.00","emendas#27","","","PAGO","","","sim"
"Sangão","Educação e inovação","INVESTIMENTO NA EDUCAÇÃO BÁSICA DO MUNICÍPIO","200000.00","emendas#26","","","PAGO","","","sim"
"Rio Fortuna","Educação e inovação","INVESTIMENTO NA EDUCAÇÃO BÁSICA DO MUNICÍPIO","150000.00","emendas#25","","","PAGO","","","sim"
"Pescaria Brava","Infraestrutura e obras","PAVIMENTAÇÃO DE RUAS DO MUNICÍPIO","250000.00","emendas#24","","","PAGO","","","sim"
"Pedras Grandes","Educação e inovação","PAVIMENTAÇÃO RUAS DO MUNICÍPIO (TROCA OBJETO -> CENTRO EDUCACIONAL TORRE DE PISA)","300000.00","emendas#23","","","PUBLICADO","","","sim"
"Morro da Fumaça","Infraestrutura e obras","PAVIMENTAÇÃO DE RUAS DO MUNICÍPIO","300000.00","emendas#22","","","PAGO","","","sim"
"Laguna","Segurança","COMPRA DE VIATURA","150000.00","emendas#21","","","PRONTO","","","sim"
"Laguna","Entidades","PROJETOS, PROGRAMAS E SERVIÇOES DESENVOLVIDOS PELA ASSOCIAÇÃO SÃO JUDAS TADEU","100000.00","emendas#20","","","PAGO","","","sim"
"Laguna","Saúde e assistência social","AQUISIÇÃO DE UM VEÍCULO PARA SECRETÁRIA DE SAÚDE","100000.00","emendas#19","","","PRONTO","","","sim"
"Lages","Outros","REALIZAÇÃO DE CASTRAÇÃO DE CÃES E GATOS DO MUNICÍPIO","150000.00","emendas#18","","","PAGO","","","validar"
"Jaguaruna","Saúde e assistência social","CUSTEIO E MANUTENÇÃO DAS ATIVIDADES HOSPITALARES","100000.00","emendas#17","","","PAGO","","","sim"
