"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Tubarão","Educação e inovação","SOLICITADO TROCA -> JOANA DE ANGELIS - construção de área coberta na sede da Fundação Educacional Joana de Angelis (ERA CONSTRUÇÃO DE ÁREA COBERTA NO CENTRO EDUCACIONAL SANTO AFONSO)","100000.00","emendas#361","","","SOLICITADO TROCA","","","sim"
"Tubarão","Outros","Custeio para desenvolvimento de atividades de fim social em tecnologia","100000.00","emendas#360","","","EM ANALISE","","","validar"
"Tubarão","Entidades","COMBEMTU -para o custeio das atividades e consequentemente, para prosseguirmos impactando no desenvolvimento social da comunidade","100000.00","emendas#359","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Tubarão","Saúde e assistência social","REDE FEMININA - Recursos para custear atividades, manter serviços, adquirir materiais e ampliar ações de prevenção","100000.00","emendas#358","","","EM ANALISE","","","sim"
"Tubarão","Saúde e assistência social","Recursos para ampliar e qualificar os atendimentos SUS no município e região","300000.00","emendas#357","","","PAGO","","","sim"
"Tubarão","Entidades","REFORMA DO TELHADO DA ASSOCIAÇÃO CASA DOS ROTARIANOS DE TUBARÃO","100000.00","emendas#356","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Trombudo Central","Educação e inovação","Recurso para construção de uma nova Creche Municipal em Trombudo Central","500000.00","emendas#355","","","PAGO","","","sim"
"Treze de Maio","Agricultura","Recuso para aquisição de drone agrícola para atender às necessidades do Município","100000.00","emendas#354","","","PAGO","","","sim"
"Treze de Maio","Social, esporte e lazer","Recurso para projeto social que promove inclusão e desenvolvimento cultural e esportivo na comunidade","100000.00","emendas#353","","","PAGO","","","sim"
"Treze de Maio","Saúde e assistência social","Recursos para ampliar e qualificar os atendimentos SUS no município e região","700000.00","emendas#352","","","EM ANALISE","","","sim"
"Treviso","Infraestrutura e obras","Recurso para pavimentar a Rua João Buogo, acesso à Igreja Nossa Senhora dos Campos","300000.00","emendas#351","","","PAGO","","","sim"
"Treviso","Educação e inovação","IMPLANTAÇÃO DE SALAS SENSORIAIS NA REDE DE ENSINO","100000.00","emendas#350","","","PAGO","","","sim"
"Três Barras","Infraestrutura e obras","Obras de revitalização da Rua Vereador Ricardo de Oliveira, Bairro Jardim Zilda Pacheco","500000.00","emendas#349","","","PAGO","","","sim"
"Timbé do Sul","Infraestrutura e obras","Recurso para pavimentação asfáltica com fornecimento de materiais em trecho da TBS 255 em Figueira Alessio","500000.00","emendas#348","","","PAGO","","","sim"
"Timbé do Sul","Educação e inovação","Recurso para adquirir laboratórios e equipamentos para a Escola Frei Modesto e EJA Jussânia Búrigo","150000.00","emendas#347","","","PAGO","","","sim"
"Timbé do Sul","Infraestrutura e obras","Pavimentação asfáltica de vias nos municipios","150000.00","emendas#346","","","PAGO","","","sim"
"São Martinho","Autismo (TEA)","COMPRA VEÍCULO SPIN PARA APAE - Adquirir um veículo com cepacidade para sete (07) pessoas","150000.00","emendas#345","","","AGUARDANDO DOCUMENTACAO","","","sim"
"São João do Sul","Infraestrutura e obras","Aquisição de insumos para recuperação de vias no município","250000.00","emendas#344","","","PAGO","","","sim"
"São Bonifácio","Agricultura","Recursos para a manutenção da Fundação Médico Assistencial do Trabalhador Rural de São Bonifácio.","150000.00","emendas#343","","","VERIFICAR","","","sim"
"Santa Rosa de Lima","Agricultura","Aquisição de implementos agricolas","200000.00","emendas#342","","","PAGO","","","sim"
"Santa Rosa de Lima","Educação e inovação","Aquisição de instrumentos de sopro para educação do municipio","100000.00","emendas#341","","","PAGO","","","sim"
"Rio Fortuna","Infraestrutura e obras","EXECUÇÃO DE OBRAS DE ACESIBILIDADE EM PONTE","200000.00","emendas#340","","","PAGO","","","sim"
"Rio do Oeste","Infraestrutura e obras","Melhoria da infraestrutura urbana para ampliar mobilidade, segurança e impulsionar o desenvolvimento local","100000.00","emendas#339","","","PAGO","","","sim"
"Rio das Antas","Educação e inovação","Recurso para manutenção das escolas, materiais pedagógicos e ações de qualificação do ensino","340000.00","emendas#338","","","PAGO","","","sim"
"Presidente Nereu","Outros","Recurso para adquirir equipamentos, mobiliários e itens que aprimorem o atendimento especializado","100000.00","emendas#337","","","PAGO","","","validar"
"Petrolândia","Infraestrutura e obras","Recurso para pavimentação e drenagem pluvial na Rua Ver. Frederico de Sousa Filho","300000.00","emendas#336","","","PAGO","","","sim"
"Penha","Entidades","Aquisição um veículo para uso exclusivo das ações de proteção e bem-estar animal do Município","100000.00","emendas#335","","","PAGO","","","sim"
"Penha","Infraestrutura e obras","Destinada à execução de obras de infraestrutura na Rua Cirineu Lacava","228908.97","emendas#334","","","PAGO","","","sim"
"Paulo Lopes","Social, esporte e lazer","Recurso para a aquisição de um veículo para uso da Secretaria Municipal de Agricultura","120000.00","emendas#333","","","PAGO","","","sim"
"Paulo Lopes","Infraestrutura e obras","Recurso para melhorias na infraestrutura da Rua Frederico Manoel da Rosa, no bairro Santa Rita","500000.00","emendas#332","","","PAGO","","","sim"
"Papanduva","Saúde e assistência social","Recursos para ampliar e qualificar os atendimentos SUS no município e região","100000.00","emendas#331","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Palma Sola","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA DA RUA DONA CECÍLIA","300000.00","emendas#330","","","PAGO","","","sim"
"Nova Veneza","Educação e inovação","IMPLANTAÇÃO DE SALAS SENSORIAIS NA REDE DE ENSINO","100000.00","emendas#329","","","PAGO","","","sim"
"Nova Veneza","Autismo (TEA)","Custeio de atividades de Ecoterapia - TEA","100000.00","emendas#328","","","PUBLICADO","","","sim"
"Navegantes","Autismo (TEA)","Recurso para reforma da nova sede da APAE Navegantes, permitindo avanço das obras e da infraestrutura","300000.00","emendas#327","","","PENDENTE","","","sim"
"Morro da Fumaça","Social, esporte e lazer","Recurso para construir o Complexo Esportivo da Mina Fluorita e realizar melhorias no entorno","500000.00","emendas#326","","","PAGO","","","sim"
"Morro da Fumaça","Autismo (TEA)","APAE – Recursos para qualificar atendimentos, adquirir materiais úteis diversos e apoiar ações de saúde local","150000.00","emendas#325","","","EM ANALISE","","","sim"
"Morro da Fumaça","Outros","PAP: recursos para ações essenciais, materiais, insumos, medicamentos e manutenção básica","100000.00","emendas#324","","","PUBLICADO","","","validar"
"Meleiro","Saúde e assistência social","Recurso para a Saúde realizar exames e procedimentos de média e alta complexidade (MAC)","100000.00","emendas#323","","","PAGO","","","sim"
"Maracajá","Social, esporte e lazer","Recurso para reforma da Praça Frei Euzébio, criando espaço inclusivo","100000.00","emendas#322","","","PAGO","","","sim"
"Macieira","Educação e inovação","Aquisição de 285 kits de carteiras e cadeiras para as escolas Pequenos Brilhantes e Cândida Bertotto","100000.00","emendas#321","","","PAGO","","","sim"
"Luzerna","Outros","Recurso para aquisição de medicamentos, materiais de consumo e combustível para transporte de pacientes da Atenção Básica","100000.00","emendas#320","","","PUBLICADO","","","validar"
"Leoberto Leal","Outros","Construção do Centro de Eventos no município","200000.00","emendas#319","","","PAGO","","","validar"
"Laguna","Infraestrutura e obras","Obra de pavimentação na rua José Antônio Pedro na comunidade de Caputera","400000.00","emendas#318","","","PAGO","","","sim"
"Laguna","Outros","CASA ACOLHIDA FILHOS PREDILETOS - Recurso para compra de veiculo","100000.00","emendas#317","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Laguna","Outros","Recurso para reforma e manutenção da estrutura física da sede da ACUSTRA","100000.00","emendas#316","","","EM ANALISE","","","validar"
"Laguna","Outros","PAULÃO VÔLEI","100000.00","emendas#315","","","PAGO","","","validar"
"José Boiteux","Autismo (TEA)","Recurso para adquirir equipamentos e implantar uma Sala Sensorial no CEI Branca de Neve","100000.00","emendas#314","","","PAGO","","","sim"
"Jaguaruna","Saúde e assistência social","Recurso para ampliar e qualificar os atendimentos do Hospital de Caridade de Jaguaruna no SUS","400000.00","emendas#313","","","EM ANALISE","","","sim"
"Jaguaruna","Autismo (TEA)","CONSELHO COMUNITÁRIO DE JAGUARUNA - Para Entidade custear o Programa de Atendimento ao Público TEA","150000.00","emendas#312","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Jaguaruna","Infraestrutura e obras","PAVIMENTAÇÃO VIA QUE LIGA OS BAIRROS BOA VISTA À COSTA DA LAGOA","200000.00","emendas#311","","","PAGO","","","sim"
"Jaguaruna","Saúde e assistência social","Recurso para Ampliação da Unidade de Saúde da Comunidade de Olho D'Água","150000.00","emendas#310","","","PAGO","","","sim"
"Jaborá","Educação e inovação","Recursos para a execução de melhorias na Escola Básica Municipal Alberto Bordin","150000.00","emendas#309","","","PAGO","","","sim"
"Ituporanga","Educação e inovação","Recurso para ampliar e qualificar o atendimento escolar com melhorias, equipamentos e projetos pedagógicos","500000.00","emendas#308","","","PAGO","","","sim"
"Itaiópolis","Infraestrutura e obras","Recurso para aquisição e instalação de iluminação LED","200000.00","emendas#307","","","PAGO","","","sim"
"Imbuia","Educação e inovação","Recurso para aquisição de ônibus para uso da educação","300000.00","emendas#306","","","PAGO","","","sim"
"Imbituba","Infraestrutura e obras","Recurso para a Pavimentação e drenagem pluvial do trecho 1, da Rua Izidoro João Manoel da Silva","450000.00","emendas#305","","","PAGO","","","sim"
"Imbituba","Social, esporte e lazer","ASSOCIACAO DE VOLEIBOL DE IMBITUBA - Recurso para continuidade e expansão do Projeto Esportivo ASVI em 2026, ampliando ações e treinos","100000.00","emendas#304","","","EM ANALISE","","","sim"
"Imbituba","Social, esporte e lazer","Para custear as atividades culturais executadas pela Cia Desmontagem Cênica de Imbituba","100000.00","emendas#303","","","EM ANALISE","","","sim"
"Imaruí","Saúde e assistência social","Recurso para adquirir equipamentos hospitalares","250000.00","emendas#302","","","EM ANALISE","","","sim"
"Içara","Saúde e assistência social","HOSPITAL SÃO DONATO - Recurso para Custeio e Manutenção dos Serviços de Saúde, destinados ao pagamento dos plantonistas médicos do pronto socorro","300000.00","emendas#301","","","PAGO","","","sim"
"Gravatal","Social, esporte e lazer","AQUISIÇÃO DE VEÍCULO PARA SECRETARIA DE ESPORTES","140000.00","emendas#300","","","PAGO","","","sim"
"Gravatal","Agricultura","AQUISIÇÃO DE IMPLEMENTOS AGRÍCOLAS","100000.00","emendas#299","","","PAGO","","","sim"
"Grão-Pará","Outros","AQUISIÇÃO VEÍCULO PARA ZOONOSES","150000.00","emendas#298","","","PAGO","","","validar"
"Gaspar","Outros","Recurso para castrações, atendimentos veterinários, vacinação, adoção e apoio à proteção animal","100000.00","emendas#297","","","PAGO","","","validar"
"Garopaba","Entidades","Recurso para aquisição de recursos para manutenção da associação Abraço Fraterno","100000.00","emendas#296","","","EM ANALISE","","","sim"
"Forquilhinha","Educação e inovação","Recurso para a Construção de um CENTRO DE EDUCAÇÃO INFALTIL (C.E.I.) no Bairro Ouro Negro","900000.00","emendas#295","","","PAGO","","","sim"
"Florianópolis","Autismo (TEA)","LIRA TENIS CLUBE - Recurso para manutenção e ampliação do serviço especializado e apresentação de Projeto para Natação para Portadores do TEA","100000.00","emendas#294","","","EM ANALISE","","","sim"
"Florianópolis","Outros","AABB - PROJETO SOCIAL DE VÔLEI SACA ESSA","100000.00","emendas#293","","","EM ANALISE","","","validar"
"Cocal do Sul","Educação e inovação","Construção de salas de aula na rede municipal de ensino de Cocal do Sul","350000.00","emendas#292","","","PAGO","","","sim"
"Chapadão do Lageado","Social, esporte e lazer","Recursos para a aquisição de um Trator Agrícola, para apoio a Secretaria da agricultura de nosso Município","200000.00","emendas#291","","","PAGO","","","sim"
"Capivari de Baixo","Outros","Recurso para aquisição de um veículo modelo FIAT STRADA VOLCANO CABINE DUPLA 1.3","130000.00","emendas#290","","","EM ANALISE","","","validar"
"Capivari de Baixo","Educação e inovação","TROCA OBJETO -> Custeio das atividades esportivas e recreativas da Sociedade Esportiva Recreativa Aparecida ERA -> Aquisição de materiais do projeto Escola de Campeões, que oferece aulas gratuitas de karatê -> Custeio das atividades esportivas e recreativas da Sociedade Esportiva Recreativa Aparecida","100000.00","emendas#289","","","SOLICITADO TROCA","","","sim"
"Capivari de Baixo","Social, esporte e lazer","Solicitação de emenda para compra de material esportivo","100000.00","emendas#288","","","EM ANALISE","","","sim"
"Capivari de Baixo","Saúde e assistência social","TROCA OBJETO -> Custeio de consultas e exames ERA -> Aquisição de veiculo utilitário 4x4 para defesa civil","250000.00","emendas#287","","","SOLICITADO TROCA","","","sim"
"Capivari de Baixo","Saúde e assistência social","REDE FEMININA - Recursos para custear atividades, manter serviços, adquirir materiais e ampliar ações de prevenção","100000.00","emendas#286","","","EM ANALISE","","","sim"
"Capivari de Baixo","Entidades","CLUBE DE MÃES - Aquisição de insumos para as atividades a serem desenvolvidas pelos grupos e turmas","100000.00","emendas#285","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Capinzal","Infraestrutura e obras","Recursos para pavimentar a Rua Pica-Pau, no Recanto dos Pássaros, melhorando tráfego e segurança.","500000.00","emendas#284","","","PAGO","","","sim"
"Brusque","Educação e inovação","SOLICITADO TROCA -> Melhorias na Escola de Ensino Fundamental Professora Georgina de Carvalho Ramos da Luz","100000.00","emendas#283","","","SOLICITADO TROCA","","","sim"
"Brusque","Educação e inovação","SOLICITADO TROCA -> melhorias Centro de Educação Infantil Tia Trude","100000.00","emendas#282","","","SOLICITADO TROCA","","","sim"
"Brusque","Educação e inovação","SOLICITADO TROCA -> melhorias da Centro de Educação Infantil Nova Brasília","100000.00","emendas#281","","","SOLICITADO TROCA","","","sim"
"Braço do Norte","Agricultura","FUNBAMA - Aquisição de um Drone para ações de monitoramento ambiental","100000.00","emendas#280","","","PAGO","","","sim"
"Braço do Norte","Educação e inovação","Recurso para aquisição de 20 abrigos para pontos de transporte escola","100000.00","emendas#279","","","PAGO","","","sim"
"Braço do Norte","Infraestrutura e obras","PAVIMENTAÇÃO RUA PADRE JACOB LUIZ NEIBEL - Bairro São francisco de Assis","450000.00","emendas#278","","","PAGO","","","sim"
"Braço do Norte","Saúde e assistência social","HOSPITAL SANTA TEREZINHA - Ampliação e construção de novo prédio para atendimentos","100000.00","emendas#277","","","EM ANALISE","","","sim"
"Bom Jesus","Saúde e assistência social","CUSTEIO SAÚDE - Insumos para atividades dos postos de saúde do município","100000.00","emendas#276","","","PAGO","","","sim"
"Biguaçu","Outros","Implantação de um sistema de câmeras de segurança no Município","250000.00","emendas#275","","","PAGO","","","validar"
"Balneário Rincão","Saúde e assistência social","Recursos para Rede Feminina de Combate ao Câncer de Balneário Rincão, destinados à construção da sede própria da entidade","100000.00","emendas#274","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Balneário Gaivota","Infraestrutura e obras","Pavimentação asfáltica da Rua José delaudino dos Santos","140000.00","emendas#273","","","PAGO","","","sim"
"Arroio Trinta","Social, esporte e lazer","Aquisição de um veículo para uso da Secretaria Municipal de Esportes, utilizado para o transporte de atletas e equipes esportivas","300000.00","emendas#272","","","PAGO","","","sim"
"Armazém","Autismo (TEA)","COMPRA VEÍCULO SPIN PARA APAE - Adquirir um veículo com capacidade para sete (07) pessoas","150000.00","emendas#271","","","EM ANALISE","","","sim"
"Armazém","Infraestrutura e obras","Recurso para repavimentação de trecho da Rua Adolfo Steiner","280000.00","emendas#270","","","PAGO","","","sim"
"Araranguá","Infraestrutura e obras","Recurso para pavimentação da Rodovia Municipal ARA - 204, na comunidade de Sanga do Marco","370000.00","emendas#269","","","PAGO","","","sim"
"Antônio Carlos","Infraestrutura e obras","Pavimentação e Infraestrutura da Rua Alvina Martendal Richartz","360000.00","emendas#268","","","PAGO","","","sim"
"Agronômica","Infraestrutura e obras","Recurso para melhorias viárias e iluminação pública na Rua 7 de Setembro e imediações do Centro de Eventos","100000.00","emendas#267","","","PAGO","","","sim"
"Abdon Batista","Infraestrutura e obras","Incentivo para ações agrícolas, infraestrutura rural e aquisição de equipamentos, visando desenvolvimento","150000.00","emendas#266","","","PAGO","","","sim"
"Zortéa","Educação e inovação","MELHORIAS NA INFRAESTRUTURA DA ESCOLA MUNICIPAL HORIZONTE NÚCLEO I","150000.00","emendas#265","","","PAGO","","","sim"
"Witmarsum","Infraestrutura e obras","RECUPERAÇÃO DAS ESTRADAS VICINAIS NO RIBEIRÃO MARRECO","100000.00","emendas#264","","","EM ANALISE","","","sim"
"Vidal Ramos","Outros","AQUISIÇÃO DE UM VEÍCULO PARA O ABRIGO ALBERTINA BERKENBROCK","150000.00","emendas#263","","","PRONTO","","","validar"
"Urussanga","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA DAVID SPRICIGO, RUA GIOVANI SALVADOR E DA CICLOVIA DO POLIESPORTIVO MUNICIPAL","250000.00","emendas#262","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Urupema","Social, esporte e lazer","CONSTRUÇÃO DE PARQUE INFANTIL NA PRAÇA CENTRAL","250000.00","emendas#261","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Urubici","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA JUCELINO KUBITSCHEK","300000.00","emendas#260","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO","1500000.00","emendas#259","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Treze de Maio","Social, esporte e lazer","INVESTIMENTO EM EQUIPAMENTO TURÍSTICO / ESPORTIVO","100000.00","emendas#258","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Treviso","Saúde e assistência social","REFORMA E AMPLIAÇÃO DA UNIDADE DE SAÚDE DILNEI ZELINDO SÔNEGO","300000.00","emendas#257","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Timbé do Sul","Educação e inovação","AQUISIÇÃO DE VEÍCULO UTILITÁRIO PARA SECRETARIA DE EDUCAÇÃO","350000.00","emendas#256","","","PAGO","","","sim"
"São Pedro de Alcântara","Saúde e assistência social","AMPLIAÇÃO DE VAGAS DE ESTACIONAMENTO DE POSTOS DE SAÚDE","130000.00","emendas#255","","","AGUARDANDO DOCUMENTACAO","","","sim"
"São José","Infraestrutura e obras","PAVIMENTAÇÃO EM PAVER E MANUTENÇÃO DA VIA MUNICIPAL RUA LEONEL FELISBINO DA SILVA","1000000.00","emendas#254","","","AGUARDANDO DOCUMENTACAO","","","sim"
"São Domingos","Outros","REFORMA DO PAVILHÃO DO CENTRO COMUNITÁRIO DO BAIRRO ESPERANÇA","120000.00","emendas#253","","","AGUARDANDO DOCUMENTACAO","","","validar"
"São Domingos","Educação e inovação","REFORMA NA ESCOLA INFANTIL MUNICIPAL PINGO DE GENTE E ESCOLA INFANTIL MUNICIPAL BRANCA DE NEVE","100000.00","emendas#252","","","AGUARDANDO DOCUMENTACAO","","","sim"
"São Bonifácio","Outros","AQUISIÇÃO DE PARQUINHOS","100000.00","emendas#251","","","AGUARDANDO DOCUMENTACAO","","","validar"
"São Bonifácio","Entidades","CONSTRUÇÃO DE SALAS PARA SECRETARIA DE ASSISTÊNCIA SOCIAL","100000.00","emendas#250","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Sangão","Infraestrutura e obras","PAVIMENTAÇÃO NAS RUAS ZENIR SCREMIN, ROSINEI IDO PACHECO, LAURITA, ALEXANDRINA LUIZ, MAICON FRANCISCO MARTINS, ANTONIO ALMEIDA E BERTOLDO SANTANA NO BAIRRO MORRO GRANDE","500000.00","emendas#249","","","PUBLICADO","","","sim"
"Salto Veloso","Saúde e assistência social","CONSTRUÇÃO DE TOLDO METÁLICO E COBERTURA EM POLICARBONATO NA ENTRADA DA UNIDADE BÁSICA DE SAÚDE","100000.00","emendas#248","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Rio Rufino","Entidades","MANUTENÇÃO DAS AÇÕES DA ASSISTÊNCIA SOCIAL","200000.00","emendas#247","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Rio Fortuna","Outros","AQUISIÇÃO DE BALANÇAS PARA PESAR CAMINHÕES","200000.00","emendas#246","","","PAGO","","","validar"
"Rio Fortuna","Infraestrutura e obras","Aquisição de Retroescavadeira","200000.00","emendas#245","","","PAGO","","","sim"
"Presidente Nereu","Social, esporte e lazer","AQUISIÇÃO DE VEÍCULO UTILITÁRIO PARA FOMENTO DA AGRICULTURA","100000.00","emendas#244","","","PRONTO","","","sim"
"Presidente Getúlio","Infraestrutura e obras","DRENAGEM PLUVIAL, PAVIMENTAÇÃO E SINALIZAÇÃO DAS RUAS ISABEL WILHELM E EDGAR WILHELM","150000.00","emendas#243","","","PUBLICADO","","","sim"
"Praia Grande","Social, esporte e lazer","AQUISIÇÃO DE MATERIAIS ESPORTIVOS PARA SECRETARIA DE ESPORTE","100000.00","emendas#242","","","PAGO","","","sim"
"Ponte Alta","Entidades","AQUISIÇÃO DE VEÍCULO PARA SECRETARIA DE ASSISTÊNCIA SOCIAL","100000.00","emendas#241","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Pinhalzinho","Educação e inovação","AQUISIÇÃO DE MICROONIBUS ACESSÍVEL PARA A EDUCAÇÃO","250000.00","emendas#240","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Petrolândia","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA RUA ARI DEUTTNER","200000.00","emendas#239","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Pescaria Brava","Infraestrutura e obras","SOLICITADO TROCA -> Pavimentação em Lajotas da Rua Julio Gomes- Bairro Laranjeiras (era para RUA OSCAR DE ANDRADE POLUCENO)","150000.00","emendas#238","","","SOLICITADO TROCA","","","sim"
"Pescaria Brava","Social, esporte e lazer","RETIFICADO PARA -> REALIZAÇÃO DA SEMANA CULTURAL, A SER REALIZADA NO PERÍODO DE 21 À 25 DE OUTUBRO DE 2026 (ERA -> AQUISIÇÃO DE KITS DE ARTESANATO DESTINADOS A GRUPOS DE MULHERES)","100000.00","emendas#237","","","PRONTO","","","sim"
"Peritiba","Outros","AQUISIÇÃO DE COMBUSTÍVEL PARA ABASTECIMENTO DA FROTA DE MÁQUINAS E EQUIPAMENTOS","100000.00","emendas#236","","","PUBLICADO","","","validar"
"Pedras Grandes","Outros","AQUISIÇÃO DE VEÍCULO UTILITÁRIO 4X4","200000.00","emendas#235","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Paulo Lopes","Outros","COBERTURA DE CANCHA NO CENTRO DE EVENTOS ABELARDO JUVÊNCIO RODRIGUES, BAIRRO SANTO CRUZ","900000.00","emendas#234","","","PUBLICADO","","","validar"
"Painel","Outros","CUSTEIO DO TRANSPORTE DE ALUNOS","150000.00","emendas#233","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Nova Veneza","Social, esporte e lazer","COLOCAÇÃO DE PAVER NO COMPLEXО ESPORTIVO ANTÔNIO AMBONI","270000.00","emendas#232","","","PAGO","","","sim"
"Nova Veneza","Outros","AQUISIÇÃO DE VEÍCULOS UTILITÁRIOS PARA TRANSPORTE DE PASSAGEIROS TIPO VAN PARA CLUBES DE MÃES","280000.00","emendas#231","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Nova Veneza","Social, esporte e lazer","COLOCAÇÃO DE GRAMADO SINTÉTICO NO COMPLEXO ESPORTIVO DO DISTRITO DE CARAVAGGIO","500000.00","emendas#230","","","PAGO","","","sim"
"Morro Grande","Outros","ESCAVADEIRA","250000.00","emendas#229","","","EM ANALISE","","","validar"
"Morro Grande","Infraestrutura e obras","DRENAGEM COM TUBULAÇÃO NA SANGA LATERAL DA ESTRADA SANGA DAS PEDRAS","150000.00","emendas#228","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Maravilha","Social, esporte e lazer","AQUISIÇÃO DE VEÍCULO PARA O DESENVOLVIMENTO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE ESPORTES","200000.00","emendas#227","","","PAGO","","","sim"
"Lauro Müller","Autismo (TEA)","REABILITAÇÃO ATRAVÉS DE EQUOTERAPIA E TERAPIA OCUPACIONAL PARA PESSOAS COM TEA","300000.00","emendas#226","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Lauro Müller","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA RODOVIA MUNICIPAL GUATÁ DE BAIXO","300000.00","emendas#225","","","PAGO","","","sim"
"Lauro Müller","Saúde e assistência social","CUSTEIO DA SECRETARIA DE SAÚDE ATRAVÉS DE EXAMES MÉDICOS E LABORATORIAIS","100000.00","emendas#224","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Laguna","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA RUA VEREADOR JOSÉ TOMÉ MACHADO DE SOUZA. BAIRRO PONTA DA BARRA","1000000.00","emendas#223","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Jacinto Machado","Saúde e assistência social","REFORMA DO POSTO DE SAÚDE","250000.00","emendas#222","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Ituporanga","Infraestrutura e obras","CONSTRUÇÃO DA RUA COBERTA NA ÁREA CENTRAL DO MUNICÍPIO","1000000.00","emendas#221","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Itaiópolis","Infraestrutura e obras","AQUISIÇÃO DE MATERIAL BRITADO PARA RECUPERAÇÃO DA ESTRADA GERAL NA LOCALIDADE DE SÃO PEDRO","300000.00","emendas#220","","","PAGO","","","sim"
"Imbituba","Infraestrutura e obras","PAVIMENTAÇÃO E DRENAGEM DA RUA MARCELINO JOVINO RODRIGUES - BAIRRO ALTO ARROIO","500000.00","emendas#219","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Imaruí","Outros","TROCA OBJETO -> AQUISIÇÃO DE VEÍCULO PARA A SECRETARIA DE GOVERNO DO MUNICÍPIO","100000.00","emendas#218","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO DE RUAS NO BAIRRO VILA NOVA","1500000.00","emendas#217","","","EM ANALISE","","","sim"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO COM LAJOTAS SEXTAVADAS DA RUA MAX VENTURA","300000.00","emendas#216","","","PUBLICADO","","","sim"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO COM LAJOTAS SEXTAVADAS DA RUA SÃO FRANCISCO DE ASSIS","300000.00","emendas#215","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO COM LAJOTAS SEXTAVADAS DA RUA EGÍDIO NOVAK","300000.00","emendas#214","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Içara","Infraestrutura e obras","REVITALIZAÇÃO DA RUA TEREZA FONTANA NO BAIRRO AURORA","100000.00","emendas#213","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Içara","Infraestrutura e obras","PAVIMENTAÇÃO COM LAJOTAS SEXTAVADAS DA RUA JOÃO GHEDIN, BAIRRO POÇO TRÊS","200000.00","emendas#212","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Içara","Social, esporte e lazer","REVITALIZAÇÃO DO CAMPO DE FUTEBOL DO BAIRRO DEMBOSKI","150000.00","emendas#211","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Içara","Social, esporte e lazer","REVITALIZAÇÃO DA PRAÇA DO BAIRRO PRESIDENTE VARGAS","150000.00","emendas#210","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Herval D'oeste","Outros","REALIZAÇÃO DE CONSTRUÇÃO DE ÁREA DE RECREAÇÃO NO BAIRRO ESTAÇÃO LUZERNA","150000.00","emendas#209","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Herval D'oeste","Infraestrutura e obras","REALIZAÇÃO DE RECAPEAMENTO DE PARTE DA RUA 09 DE JULHO NO BAIRRO SANTO ANTONIO","150000.00","emendas#208","","","AGUARDANDO DOCUMENTACAO","","","sim"
