fonte,ig_media_id,object_story_id,tipo,data,permalink,legenda
"instagram","18058266275395424","","FEED","2026-03-05T22:36:21+0000","https://www.instagram.com/p/DVhQoOWgP7x/","Por que todas as mensagens trocadas entre Moraes e Vorcaro eram apagad"
"instagram","18081055358041453","","REELS","2026-03-02T17:29:07+0000","https://www.instagram.com/reel/DVY9JopAHO2/","ASSISTA ATÉ O FINAL, é tudo que eu peço! 😉 Começamos a semana com uma"
"instagram","18111345607678272","","REELS","2026-02-28T16:01:45+0000","https://www.instagram.com/reel/DVTrSTMDfG_/","Meu senador é CATARINENSE “DA GEMA!” O melhor senador do Brasil é noss"
"instagram","18109347232707484","","REELS","2026-02-27T20:26:52+0000","https://www.instagram.com/reel/DVRk8JUgXJ_/","DEBATE COM RESPONSABILIDADE ⏱️🇧🇷 Alguns países já testam jornadas di"
"instagram","18095094550796988","","FEED","2026-02-23T13:56:32+0000","https://www.instagram.com/p/DVGlb4ygNZO/","O MAIOR FURO ECONÔMICO DA NOSSA HISTÓRIA? Bilhões sob investigação. Ba"
"instagram","17874186462532390","","FEED","2026-02-19T20:47:01+0000","https://www.instagram.com/p/DU9BO4LAbef/","O trabalho não para e as entregas também não! 😉"
"instagram","18093782258073617","","FEED","2026-02-16T16:58:46+0000","https://www.instagram.com/p/DU04ub-AJr2/","CARNAVAL OU CAMPANHA? 🎭 O que aconteceu neste domingo foi inédito e, "
"instagram","18094195078789798","","REELS","2026-02-15T15:31:51+0000","https://www.instagram.com/reel/DUyJsSoAIz2/","NÃO É MILAGRE. É MECANISMO. 🧠🔬 Quando a ciência entende a causa, ela"
"instagram","18132719599509427","","FEED","2026-02-14T17:38:20+0000","https://www.instagram.com/p/DUvzqesgOox/","LINDA DEMAIS! 🎉 Ontem a passarela Negro Querido estava simplesmente e"
"instagram","18305409223277982","","FEED","2026-02-13T23:37:37+0000","https://www.instagram.com/p/DUt3_FhjeTI/","Seja feliz com a festa que é a cara do BRASIL! 🇧🇷"
"instagram","18052194983469967","","REELS","2026-02-08T14:35:25+0000","https://www.instagram.com/reel/DUgBjIcgMSH/","ESPORTES COM ESTRUTURA ⚽️🏟️ Mais que futebol: é convivência, saúde e "
"instagram","18105793510703975","","FEED","2026-02-07T14:37:06+0000","https://www.instagram.com/p/DUddW9KgAHz/","O TRABALHO CONTINUA… mas quem vai curtir o final de semana de sol ☀️ a"
"instagram","18054955535416618","","REELS","2026-02-06T18:46:32+0000","https://www.instagram.com/reel/DUbUjoyiahu/","CARRO NOVO PARA CAPIVARI DE BAIXO 🚗💪 Mais uma conquista chegando par"
"instagram","18104934442834678","","FEED","2026-02-05T20:30:10+0000","https://www.instagram.com/p/DUY8LPWkcdM/","QUANDO A JUSTIÇA TEM SOBRENOME… ⚖️🧐 Parentes diretos de 8 dos 10 mini"
"instagram","17905623456185498","","REELS","2026-02-04T14:46:09+0000","https://www.instagram.com/reel/DUVuUh_gCd0/","OBRA QUE TRANSFORMA VIDAS EM IÇARA 🚧 A Rua 17 de Dezembro, no Loteame"
"instagram","17880373440461396","","FEED","2026-02-03T20:30:50+0000","https://www.instagram.com/p/DUTx445AXqf/","ANO LEGISLATIVO COMEÇOU NA ALESC ▶️ O ano legislativo começou oficialm"
"instagram","18049256462695352","","REELS","2026-02-02T22:28:40+0000","https://www.instagram.com/reel/DURbC3cAEh2/","TRABALHO SEM PAUSA 🚧✈️ Praia? Quase não se vê… Quando o compromisso é"
"instagram","17935357260015848","","REELS","2026-01-31T14:39:02+0000","https://www.instagram.com/reel/DULb_F_AI6L/","R$ 33,9 MILHÕES. OFFSHORE. SIGILO. 🕵️‍♂️ O caso precisa ser investiga"
"instagram","18165828118401926","","FEED","2026-01-30T21:11:01+0000","https://www.instagram.com/p/DUJkFJsgfXg/","🚨 Bilhões em risco. 🏦 Um banco colapsa. ⚖️ O sistema falha. O caso B"
"instagram","17899687746225672","","REELS","2026-01-29T21:08:17+0000","https://www.instagram.com/reel/DUG-karAWrd/","ENTREGA QUE VALORIZA QUEM CUIDA DE TODOS 💙🚐 Mais do que uma van: é u"
"instagram","18255322288295000","","FEED","2026-01-28T16:14:35+0000","https://www.instagram.com/p/DUD4IRrgMM6/","Ex-ministra da Suprema Corte do Chile, Ángela Vivanco, foi presa em Sa"
"instagram","17909652429322575","","REELS","2026-01-28T09:30:00+0000","https://www.instagram.com/reel/DUDKUDBDeAN/","⚽️ Investir no esporte é investir no futuro. São R$ 500 mil para o gra"
"instagram","18153553147427809","","REELS","2026-01-23T11:24:56+0000","https://www.instagram.com/reel/DT2e9D7gLOL/","🚀 Rio Fortuna segue avançando! Mais investimentos chegando para fazer"
"instagram","17948534988089425","","REELS","2026-01-19T13:20:27+0000","https://www.instagram.com/reel/DTsZKEEgHwo/","A MELHOR COISA QUE TEM: Ver a obra pronta do recurso que enviamos! 🚀 "
"instagram","17849816700657322","","REELS","2026-01-16T20:52:26+0000","https://www.instagram.com/reel/DTleyCLgepb/","AQUI NÃO PARA e o ASFALTO CHEGOU! 🚧🔥 O cheirinho de asfalto novo que"
"instagram","17971395962987352","","REELS","2026-01-15T18:54:34+0000","https://www.instagram.com/reel/DTish1nAU9M/","SE EU PUDESSE, EU RESOLVIA TUDO! 💪🏼 Se fosse só pela vontade, tava t"
"instagram","18199337572328012","","REELS","2026-01-14T22:59:48+0000","https://www.instagram.com/reel/DTgihs4CSe_/","Começando o ano com o pé direito! 🙌 Gravatal avança com a inauguração"
"instagram","18163008562362698","","REELS","2026-01-04T23:09:38+0000","https://www.instagram.com/reel/DTG0zjyDUvf/","🛢️ DITADURA, OURO E INTERESSES ESCONDIDOS 💰 Sim, Maduro é um ditador"
"instagram","18111932266559003","","FEED","2026-01-04T17:30:07+0000","https://www.instagram.com/p/DTGOIhkgN1D/","🇻🇪 VENEZUELA: DO OURO NEGRO À CRISE HUMANITÁRIA 🛢️🔥 Já foi chamada"
"instagram","18082004774518305","","FEED","2025-12-31T18:50:10+0000","https://www.instagram.com/p/DS8EHVSgDVl/","🎉 FÉ, FORÇA, FUTURO Que 2026 seja o ano em que a esperança se transfo"
"instagram","18144976942459473","","REELS","2025-12-30T21:48:40+0000","https://www.instagram.com/reel/DS5ziPvga64/","Ano corrido de muito trabalho, confere aí o que a Siri trouxe pra gent"
"instagram","18028989764579230","","FEED","2025-12-27T19:44:11+0000","https://www.instagram.com/p/DSx3HdPAVKa/","UM ANO INTEIRO DE ENTREGA 🚀 Foram 12 meses de correria, de estrada, d"
"instagram","18112332415617894","","FEED","2025-12-25T13:01:36+0000","https://www.instagram.com/p/DSr_dCWAJJG/","Que o Natal renove a fé, fortaleça a esperança e encha nossos lares de"
"instagram","17985751028920583","","REELS","2025-12-24T13:28:55+0000","https://www.instagram.com/reel/DSpdWgmgM_n/","FELIZ NATAL 🎁 ✨🎄 O Natal é tempo de sentir, agradecer e estar junto."
"instagram","18068490251129438","","REELS","2025-12-23T15:12:41+0000","https://www.instagram.com/reel/DSnD0FWgOpD/","Mais um importante equipamento entregue através do nosso mandato! 💪🚜"
"instagram","18087247814091590","","REELS","2025-12-22T15:49:08+0000","https://www.instagram.com/reel/DSkih7EgAn7/","🚐🚑 Mais mobilidade, mais cuidado e mais esporte para Capivari! Entre"
"instagram","18056475707329790","","REELS","2025-12-18T20:59:45+0000","https://www.instagram.com/reel/DSazYTEgWin/","PAULO LOPES FAZ E FAZ RÁPIDO! 🚜💥 Obra boa é obra entregue, e Paulo L"
"instagram","17851466925603965","","FEED","2025-12-18T01:18:39+0000","https://www.instagram.com/p/DSYtcYyjQAo/","Formatura do 5º ano da nossa Manu 🎓 Um passo importante nessa caminha"
"instagram","18085070561091263","","REELS","2025-12-10T16:59:37+0000","https://www.instagram.com/reel/DSFyT4-AMnE/","💥 Capivari de Baixo segue avançando — e o trabalho não para! Revitali"
