ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
18326972980092549,2025-01-21,FEED,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,151,135,16,Alôô Tubarãoo! Hoje não esquece de tomar água e passar protetor solar.,https://www.instagram.com/p/DFFbjXLOJwj/
18168561904411390,2026-04-15,REELS,Autismo / TEA,aprovado,TEA/autismo (fica todos),Público autismo / SC,150,134,16,AUTISMO É PRIORIDADE 💙 Todo pai e toda mãe de uma criança com autismo,https://www.instagram.com/reel/DXKkyJECden/
18326845795161703,2025-05-02,REELS,Atualidades,removido,base de atualidades cai,,150,134,16,"💥 TRUMP QUER DERRUBAR O DÓLAR? 🤔 📉 Em 1985, os EUA desvalorizaram o",https://www.instagram.com/reel/DJKnBMKptDy/
18039922606524313,2023-09-07,REELS,Cultura e Tradição,removido,fora de 2025-2026,,150,145,5,Um dia marcante que ecoa na história. Celebre a independência com orgu,https://www.instagram.com/reel/Cw5xQZ_u_9d/
18179185780386402,2026-04-06,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,149,129,20,RECONHECIMENTO QUE NOS MOTIVA 🙏✨ Receber essa homenagem da STAN (Asso,https://www.instagram.com/p/DWy6VG0APMa/
18004741538824226,2025-12-09,FEED,Saúde,avaliar,saúde (avaliar),Sul-SC,149,149,0,"SAÚDE MENTAL IMPORTA 🧠✨ Hoje, o deputado Felippe Collaço entregou uma",https://www.instagram.com/p/DSDt14cAY1N/
18247322857216977,2024-03-09,FEED,Institucional / Agenda,removido,fora de 2025-2026,,149,142,7,Unindo forças para o futuro das nossas cidades 🤝✨ Articulações e polí,https://www.instagram.com/p/C4Tsv4UOpUD/
17936072847211722,2026-04-19,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Orleans,148,139,9,DESENVOLVIMENTO QUE CHEGA NA PONTA 🚧 Mais uma conquista para Orleans!,https://www.instagram.com/reel/DXU6Z_DAQ_z/
18057941180004744,2025-02-17,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,148,143,5,Entrando pra Trend e percebendo que o tempo passa rápido e a gente se ,https://www.instagram.com/p/DGLk4UVpaX7/
18035585321285175,2024-08-11,FEED,Institucional / Agenda,removido,fora de 2025-2026,,148,136,12,Obrigado minhas meninas! 😍 Papai ama muito vocês e sinto muito orgulh,https://www.instagram.com/p/C-hycxuugLl/
