id,nome,campaign_id,campanha,otimizacao,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,orcamento_diario_brl,orcamento_total_brl
120240176808370716,"NOVA VENEZA Metropolitano [view][INSTAGRAN][R$70,00 09/02/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.93,19891,17988,77,3.52,0.39,0.0,70.0
120238735780780716,"NATAL[view][INSTAGRAN][R$50,00 26/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.93,18983,15526,42,3.68,0.22,0.0,70.0
120237106019010716,"TILAPIA [view][INSTAGRAN][R$70,00 24/11/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.89,17333,16543,27,4.03,0.16,0.0,70.0
120239801466600716,"NOVA VENEZA[view][INSTAGRAN][R$70,00 29/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.87,22080,18885,95,3.16,0.43,0.0,70.0
120240898834480716,"SENADOR AMIN[view][INSTAGRAN][R$70,00] 01/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,69.86,22551,18607,689,3.1,3.06,0.0,70.0
120239801416890716,"RIO FORTUNA[view][INSTAGRAN][R$70,00 29/1/2026",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,69.78,19240,15181,93,3.63,0.48,0.0,70.0
120244305187040716,"ITAIOPOLIS[ VISUALIZAÇÃO INSTA] [09-05-2026 R$ 70,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,CAMPAIGN_PAUSED,69.75,18863,16312,383,3.7,2.03,0.0,70.0
120243057267490716,"GANHOU TERRA [ VISUALIZAÇÃO INSTA] [19-04-2926 R$ 50,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,POST_ENGAGEMENT,CAMPAIGN_PAUSED,69.75,35644,35475,242,1.96,0.68,0.0,70.0
120239970345850716,"NOVA VENEZA[view][INSTAGRAN][R$70,00 03/02/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,69.74,16882,15272,65,4.13,0.39,0.0,70.0
120240075586680716,"IÇARA[view][INSTAGRAN][R$70,00 06/02/2026 R$ 70,00",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,69.44,14419,12589,42,4.82,0.29,0.0,70.0
120240832527230716,"CAPIVARI DE BAIXO[view][INSTAGRAN][R$70,00] 27/02/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,69.42,22529,19857,156,3.08,0.69,0.0,70.0
120243356554800716,"ORLEANS[view][INSTAGRAN][ 24/04/2026 R$ 70,00",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,66.48,16057,12553,53,4.14,0.33,0.0,70.0
120239032388050716,"TRUMP VENEZUELA [View] [reels]R$50,00",120239032107950716,PEPE [2026][Visualização][Reels],PROFILE_VISIT,Not available,58.85,8619,7692,427,6.83,4.95,0.0,0.0
120227514517150716,"PORTODASC[Video View SC][Visualização de Feed][08/06/25][INSTR$30,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,POST_ENGAGEMENT,Not available,54.96,5537,3690,13,9.93,0.23,0.0,0.0
120235476396070716,"PESCARIA BRAVA 13 ANOS][Video View SC][Visualização de Feed][07/04/25][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,POST_ENGAGEMENT,Not available,54.93,6600,3618,62,8.32,0.94,0.0,0.0
120247804491690716,TUBARAO +JAGUA — Cópia,120246784137180716,CAMP | 2026 | Institucional | Reconhecimento | SC,THRUPLAY,ACTIVE,50.0,9475,7993,105,5.28,1.11,0.0,50.0
120243057175630716,AUTISMO - [ENGAJAMENTO] - INSTAGRAN R$50 19-04-2026,120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,PROFILE_AND_PAGE_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,5227,3220,123,9.57,2.35,0.0,50.0
120241209110800716,"CRIANÇAS NA INTERNET [view][INSTAGRAN][R$50,00] 09/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,CAMPAIGN_PAUSED,50.0,18334,17222,727,2.73,3.97,0.0,50.0
120239970345700716,"AMUREL[view][INSTAGRAN][R$50,00] 08/08/2025",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,THRUPLAY,Not available,50.0,14114,10834,145,3.54,1.03,0.0,0.0
120232686817240716,"BRACO DO NORTETUBARÃO[view][INSTAGRAN][R$50,00 06/09/2025 — Cópia",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,50.0,18447,13364,254,2.71,1.38,0.0,50.0
120232574045850716,"PROERD TUBARÃO[view][INSTAGRAN][R$50,00 04/09/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,50.0,12231,9825,147,4.09,1.2,0.0,50.0
120231357951090716,"centro de inovação[view][INSTAGRAN][R$50,00] 13/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,50.0,9081,6642,132,5.51,1.45,0.0,50.0
120230778066950716,"GRAO PARA[view][INSTAGRAN][R$50,00] 30/07/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,THRUPLAY,CAMPAIGN_PAUSED,50.0,16804,11409,293,2.98,1.74,0.0,50.0
