id,nome,campaign_id,campanha,adset_id,objetivo,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,engajamento,video_plays
120214409603270716,"[FELIZ NATAL][Video View Brasil][Visualização de video][22/12/24][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120214409603280716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,25462,24802,89,1.96,0.35,14748,25355
120214379190090716,"[BOMBEIRO][Video View Brasil][Visualização de video][21/12/24][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120214379190100716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,19107,19107,46,2.62,0.24,13149,18897
120237899153630716,"CAPIVARI DE BAIXO[view][INSTAGRAN][R$50,00 07/12/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120237899153620716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,20475,16286,514,2.44,2.51,13817,19552
120232332381010716,"TUBARÃO[view][INSTAGRAN][R$50,00 31/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120232332381000716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,16973,13790,183,2.95,1.08,9453,16327
120232332273970716,"TUBARÃO[view][INSTAGRAN][R$50,00 31/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120232332273980716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,17092,13227,217,2.92,1.27,9601,16390
120231556145970716,"Almoço as 16[view][INSTAGRAN][R$50,00] 16/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120231556145980716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,15641,14190,118,3.2,0.75,11026,15283
120230001029050716,[GRAVTAL ]Video View Brasil][21/07/25][INSTR$50,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120230001029060716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,18055,13736,477,2.77,2.64,11352,17216
120228983526490716,"Braco do Norte][INSTAGRAN][R$50,00] 29/06/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120228983526500716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,10130,9139,31,4.93,0.31,5782,9606
120228704293320716,[UNIVERCIDADE GRATUITA]Video View Brasil][25/06/25][INSTR$50,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120228704293330716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,6844,6362,22,7.3,0.32,4864,6750
120228235830580716,[saude]Video View Brasil][17/06/25][INSTR$50,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120228235830590716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,5295,4775,25,9.44,0.47,3287,5183
120227313178380716,"colegio Sao Jose-[view TUBARÃO][INSTAGRAN][R$50,00] 05/06/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120227313178370716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,11807,10117,53,4.23,0.45,5565,11327
120221168140330716,"[Dark Story Autismo][Video View SC][Enquete][01/04/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120221168140340716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,7612,6223,26,6.57,0.34,3117,7165
120221168012030716,"LAJEADO[Video View REGIAO][Visualização de video][01/04/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120221168012020716,OUTCOME_ENGAGEMENT,Not available,49.99,12607,9923,25,3.97,0.2,4410,11363
120219292343100716,"[CHINA][Video View BRASIL][Visualização de video][20/03/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120219292343110716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.99,11434,7901,13,4.37,0.11,2841,9718
120215721803470716,[MARGINASI][Região Sul][R$50][INST][31/01/2025,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120215721803480716,OUTCOME_ENGAGEMENT,Not available,49.99,12696,11924,52,3.94,0.41,6061,12390
120215633927130716,[RADIO REDRAGAGEM][Região Sul][R$50][INST][29/01/2025,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120215633927140716,OUTCOME_ENGAGEMENT,Not available,49.99,10674,9184,43,4.68,0.4,6653,10366
120215390856360716,[ONDE ÉQUE ESTA O SUL][Região Sul][R$50][INST][24/01/2025,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120215390856370716,OUTCOME_ENGAGEMENT,Not available,49.99,10098,9722,33,4.95,0.33,6266,9865
120214910043790716,[VISITA PAULO LOPES][video view][Região Sul][R$50][INST],120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120214910043780716,OUTCOME_ENGAGEMENT,Not available,49.99,13646,11957,44,3.66,0.32,8238,12754
