ig_media_id,data,tipo,tema,conexao_pontual,curtidas,comentarios,engajamento,legenda,permalink
17942419910712543,2023-10-17,FEED,Institucional,,383,54,437,"Hoje é o dia dela, minha morena, que está cada dia mais linda. Ela é o",https://www.instagram.com/p/CygK-LpOvo5/
18026794687925759,2024-02-06,FEED,Institucional,,419,14,433,Vem pro Gabinete 34! 🚀 Aqui tá faltando algumas pessoas que fazem par,https://www.instagram.com/p/C3BVsT9urWF/
17988282413654369,2025-04-27,REELS,Cultura/Tradicao,,410,22,432,TRADIÇÃO EM AÇÃO 🇮🇹🔥🐎 Celebrando os 148 anos da imigração italiana,https://www.instagram.com/reel/DI9sgr3pCy7/
18363198670147210,2025-06-24,REELS,Educacao,,362,69,431,📚 MAIS INCLUSÃO NO UNIVERSIDADE GRATUITA! Defendi a inclusão dos alun,https://www.instagram.com/reel/DLTFQc_JAxJ/
18043431944046837,2024-10-15,FEED,Institucional,,392,34,426,Feliz Bodas de Linho pra gente! Que esses nossos 13 anos sejam sempre ,https://www.instagram.com/p/DBKUjAOStSy/
17991138830064574,2023-06-04,FEED,Institucional,,380,42,422,"Meu querido pai, o Galo velho da família, tá comemorando mais um ano d",https://www.instagram.com/p/CtEsvXruOhF/
18019194146324900,2024-11-08,REELS,Atualidades,,393,24,417,MEDIDAS PROVISÓRIAS NO CONGRESSO DE 35 ANOS DA CONSTITUIÇÃO DE SC! ✅ U,https://www.instagram.com/reel/DCIHCUdyYYL/
18042722450017649,2024-10-07,FEED,Institucional,,378,33,411,"O SUL ACORDOU MAIS AZUL HOJE! 💙💙💙💙 Quem ganhou ai também, comenta!",https://www.instagram.com/p/DA0vsl5OLB1/
17977299791000487,2023-02-09,FEED,Institucional,,375,30,405,☕️Começando o dia com uma boa conversa com o Governador @jorginhomello,https://www.instagram.com/p/CoccME5us7a/
17862952227346721,2025-02-19,REELS,Rural/Agro,,346,55,401,🚀 MADE IN LAGUNA PRO MUNDO! 🌍🔋 A maior produtora de baterias de lít,https://www.instagram.com/reel/DGRB6APJ08Q/
